Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter
08/25/2020,07/30/2020,"Chicago Indoor Garden, Inc.",Division of Human and Animal Food Operations East VI,Food/Prepared Packed or Held Under Insanitary Conditions/Adulterated,,01/03/2023
08/25/2020,07/31/2020,Vapor Plus OK,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/25/2020,08/14/2020,Hot Podz d/b/a Buy Pods Now,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/01/2020,08/31/2020,Good Life Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
03/05/2021,03/04/2021,Workswell Group s.r.o.,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
03/05/2021,03/04/2021,CreativeStar Solutions,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,07/24/2023
03/09/2021,03/01/2021,Cannafyl,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
11/03/2020,10/05/2020,"Physician 360, Inc.",Center for Devices and Radiological Health,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
11/03/2020,10/23/2020,"Grupo Insoma, S.A.P.I de CV",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
11/03/2020,10/29/2020,Ida Foods LLC,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
11/03/2020,10/09/2020,Surgery Pharmacy Services Inc,Division of Pharmaceutical Quality Operations II,Compounding Pharmacy/Adulterated Drug Products,,
03/09/2021,03/01/2021,"Plasticos Las Palmas, S.A. de C.V",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
11/03/2020,10/15/2020,LVWellness & Aesthetics,Center for Devices and Radiological Health,"Unapproved, Adulterated, and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19)",,
11/10/2020,10/28/2020,Eagles Song Health and Wellness LLC,Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,
11/10/2020,11/04/2020,Nartex Laboratorios Homeopaticos S.A. de C.V.,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,
11/17/2020,10/08/2020,"WCS Trading, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
09/22/2020,09/10/2020,HNC Products Inc.,Division of Pharmaceutical Quality Operations III,CGMP/Finished Pharmaceuticals/Adulterated,,02/09/2023
09/22/2020,08/27/2020,The Vapor Island Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,07/19/2021
09/22/2020,09/11/2020,Lucid Liquids,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/22/2020,09/08/2020,"First Royal Care Co. LLC, dba Red Mountain Compounding Pharmacy",Division of Pharmaceutical Quality Operations IV,Compounding Pharmacy/Adulterated Drug Products,,02/17/2023
09/22/2020,08/17/2020,"Vape Central Group, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/22/2020,09/15/2020,Coupler Enterprises,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,
09/22/2020,09/10/2020,Integrated Health Concepts Inc. dba Conversio Health,Division of Pharmaceutical Quality Operations IV,Compounding Pharmacy/Adulterated Drug Products,,02/02/2022
09/22/2020,07/31/2020,Ejuicesteals.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/22/2020,07/31/2020,"Provape Enterprise, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/22/2020,09/04/2020,"Apocalypse Juice, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/22/2020,09/04/2020,"DN Imports, Inc",Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
11/03/2020,10/15/2020,"Cosmax USA, Inc.",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,,03/13/2023
11/03/2020,10/27/2020,Real Clean Distribuciones SA de CV,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
12/08/2020,12/01/2020,Corporativo Bureli S.A. de C.V.,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
12/11/2020,12/02/2020,"Health & Wellness Center International One, L.L.C. dba Hotze Vitamins",Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
12/08/2020,11/24/2020,Mexi-Land Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
12/08/2020,11/30/2020,"Valentus, Inc.",Division of Human and Animal Food Operations West I,New Drug/Misbranded,,07/30/2021
12/11/2020,12/02/2020,Heavenly Natural Products,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
12/11/2020,12/10/2020,Indigenous Products,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
12/08/2020,12/01/2020,"Mushroom Revival, Inc.",Division of Human and Animal Food Operations East I,New Drug/Misbranded,,
12/03/2020,12/02/2020,Rat's Army,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
12/08/2020,11/20/2020,Natures Boost LLC,Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,04/22/2021
12/08/2020,12/07/2020,Paradigm RE LLC,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
09/08/2020,07/17/2020,Smokers Unit,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/08/2020,08/24/2020,PT. MegaSurya Mas,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,
09/09/2020,09/09/2020,Pretty Women UK LTD T/A Coil2oil and Mad Kingdom Liquids,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,11/25/2020
09/10/2020,09/09/2020,"Pharmacy Plus, Inc. dba Vital Care Compounder",Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
09/08/2020,08/25/2020,Savvy Holistic Health dba Holistic Healthy Pet,Center for Veterinary Medicine,Unapproved New Animal Drug Products,,
09/08/2020,08/14/2020,"Red Rock Vapor, LLC d/b/a Red Rock Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/09/2020,09/09/2020,"XL Vape, LLC d/b/a Stig, Inc",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/09/2020,09/09/2020,Flavour Warehouse LTD d/b/a Vampire Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,10/05/2020
09/10/2020,08/26/2020,Thomas Meds,Center for Drug Evaluation and Research | CDER,Unlawful Sale of Unapproved and Misbranded Opioids to United States Consumers Over the Internet,,
09/10/2020,08/31/2020,www.roidsforce.com,Center for Drug Evaluation and Research | CDER,Unlawful Sale of Unapproved and Misbranded Opioids to United States Consumers Over the Internet,,
09/08/2020,08/27/2020,Vape Planet Direct d/b/a Eliquid Vape Juices,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/08/2020,05/28/2020,Cigabuy,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/30/2021,11/23/2021,LIV Health LLC dba INFINIWELL and DEAL Media L.L.C. dba HARMONIA,Office of Human and Animal Foods Operations‐East V,New Drug/Misbranded,,07/05/2022
11/30/2021,11/24/2021,"Verdict Brands, LLC d/b/a Verdict Vapors, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/30/2021,11/19/2021,"Jai Mundi, Inc. dba Kai’s Virgin Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/30/2021,11/19/2021,Vape N Juice,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/23/2021,09/07/2021,"Selected Food & Beverage, Inc.",Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
11/23/2021,10/01/2021,"BN Trading, Inc.",Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
11/23/2021,10/19/2021,Bella Rosa Distribution Inc,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
09/21/2021,09/15/2021,"Nanomateriales Químicos Avanzados, S.A. de C.V.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
09/21/2021,09/13/2021,Furley Bioextracts SDN BHD,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
09/09/2021,09/07/2021,"Holistic Healer & Wellness Center, Inc.",Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,03/21/2022
09/09/2021,09/07/2021,Pharmaganics LLC,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,12/18/2022
09/09/2021,09/07/2021,Live Good Inc.,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,
09/09/2021,09/07/2021,"Radhanite, LLC d/b/a Curalife Ltd",Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,03/23/2022
09/14/2021,09/08/2021,Chula Vista Imports Ltd.,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,02/24/2023
09/14/2021,09/02/2021,Weidenhamer and Morin Enterprises LLC d/b/a Liquivape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/14/2021,08/31/2021,New York Nutrition Company / American Metabolix,Division of Human and Animal Food Operations West III,Unapproved New Drugs/Misbranded,,
09/09/2021,09/07/2021,Phytag Labs,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,
09/09/2021,09/07/2021,Metamune Inc,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,03/15/2022
09/14/2021,07/20/2021,Brilliant Enterprises LLC,Office of Human and Animal Food Operations Division- East 6,Unapproved New Drugs/Misbranded,,12/14/2021
09/21/2021,06/29/2021,"FMT Services, LLC",Center for Food Safety and Applied Nutrition (CFSAN),Foreign Supplier Verification Program (FSVP),,
10/07/2021,10/07/2021,JOCOR Enterprises LLC d/b/a VOLCANO eCigs,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,"Planet of the Vapes, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,Sadboy LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,"Dominant Vapor, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,Vapor Lab - Cleburne,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,Imperial Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,Illumivaption Inc. d/b/a Nashville Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,07/14/2022
10/07/2021,10/07/2021,The Plume Room LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,Great American Vapes Bossier City,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/13/2024
10/07/2021,10/07/2021,Sir Vapes-A-Lot LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,"The Vaping Tiger, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/07/2021,10/07/2021,The Vape-It Store,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/13/2021,06/29/2021,Kuiyi International Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
07/13/2021,06/08/2021,"Sobh Import, Inc.",Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
07/13/2021,06/10/2021,"Natural Hope Herbals, LLC",Division of Human and Animal Food Operations East II,New Drug/Misbranded,,
07/12/2021,07/07/2021,"Halodine, LLC",Center for Drug Evaluation and Research,Unapproved New Drug Products Related to Coronavirus Disease 2019 (COVID-19),,
07/13/2021,07/01/2021,"Phoenix Nutritionals, Inc.",Office of Human and Animal Food Operations-West Division 5,New Drug/Misbranded,,
07/13/2021,07/01/2021,"Biomedical Research Laboratories, LLC",Office of Human and Animal Food Operations –West Division 5,New Drug/Misbranded,,
07/13/2021,07/01/2021,Dream Pharmacy 24/7 Enterprises Limited 2018,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
07/13/2021,07/06/2021,"Guangzhou Minghui Cosmetics Co., Ltd.",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
10/15/2021,10/15/2021,JJDS E Cigarettes LLC d/b/a TKO Vapor Overstock Ecigs & More,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/13/2024
07/06/2021,06/28/2021,"World Packaging Solutions, LLC",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/07/2021
07/13/2021,06/15/2021,Rong Shing Trading NY Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,
08/10/2021,08/04/2021,BBC Group Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,
08/10/2021,07/26/2021,"Vivera Pharmaceuticals, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
08/05/2021,08/05/2021,Staccato Ventures LLC d/b/a Carolina Vape Kings,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/10/2021,07/12/2021,Acme Smoked Fish Corp.,Office of Human and Animal Food Operations - East Division 1,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
08/10/2021,08/06/2021,Ballistic Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/10/2021,07/09/2021,"USH Diagnostics, Inc./covidinstanttest.net",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
08/04/2021,07/28/2021,"Dr. Thomas Polucki Upper Cervical Chiropractic, Inc.",Center for Food Safety and Applied Nutrition,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
08/05/2021,08/05/2021,Staccato Ventures LLC d/b/a Carolina Vape Kings,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/10/2021,08/06/2021,Nuvo Silver Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/10/2021,07/02/2021,Captain's Cloth LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,10/07/2021
08/10/2021,07/27/2021,"Sanit Technologies, LLC dba Durisan","Office of Pharmaceutical Quality Operations, Division II",CGMP/Finished Pharmaceuticals/Adulterated,,
08/10/2021,07/08/2021,"3RD Day Nutraceuticals, LLC",Office of Human and Animal Food Operations East – Division 1,New Drug/Misbranded,,
08/10/2021,07/09/2021,Biopolygen Corp.,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
02/22/2022,02/02/2022,"Smart Surgical, Inc dba Burst Biologics",Office of Biological Products Operations – Division 2,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
02/22/2022,02/18/2022,Bulldog Vapor LLC dba Bullys Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/27/2022
02/22/2022,02/07/2022,Ulrich Farms,Division of Human and Animal Food Operations West I,Illegal Drug Residue Animal Tissue/Adulterated,,05/31/2023
12/09/2021,12/09/2021,Jayde’s Vapor Lounge,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/13/2024
12/09/2021,12/09/2021,Vapor Nuvola,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/09/2021,12/09/2021,Victory Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/20/2024
12/21/2021,12/09/2021,Wholly Liquid Nutritional Supplements LLC,Office of Human and Animal Food Operations East – Division 1,New Drug/Misbranded,,
12/21/2021,12/01/2021,"DermaCare Biosciences, LTD.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
12/21/2021,12/10/2021,Vape Daugz LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/21/2021,11/16/2021,Global Medical Production Co Ltd,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
12/21/2021,11/08/2021,Banner Smoked Fish Inc.,Office of Human and Animal Food Operations East – Division 1,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
12/21/2021,12/03/2021,Westside Vapor / Vapor Station,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/21/2021,12/10/2021,Propaganda E-Liquid LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/21/2021,12/15/2021,Maquiladora Miniara SA de CV,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,,
12/21/2021,11/22/2021,"Sarita's Tortilla Factory, Inc",Office of Human and Animal Food Operations West Division 3,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,12/07/2022
12/17/2021,12/16/2021,Massive Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/17/2021,12/17/2021,"Liquid Vapor Lounge, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/21/2021,12/15/2021,Malicious Liquids Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
01/11/2022,11/23/2021,"Hubei Kangzheng Pharmaceutical Co., Ltd.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,
01/11/2022,12/23/2021,"Aroma Imports, Inc.",Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
01/12/2022,01/12/2022,Smoke Euphoria Inc d/b/a Euphoria Vapor Outlet,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
01/11/2022,12/17/2021,"Greenwood Ice Cream, LLC",Office of Human and Animal Food Operations – East Division 3,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
01/12/2022,01/12/2022,Singing Hawk LLC d/b/a Sin City Vapor II,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
01/13/2022,01/13/2022,Go Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
01/12/2022,01/12/2022,Buku Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/09/2024
10/26/2021,10/13/2021,Organa International Corp.,Office of Human and Animal Food Operations Division West 4,Unapproved New Drugs/Misbranded,,10/04/2024
10/26/2021,10/05/2021,"Owlet Baby Care, Inc.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,06/28/2024
10/26/2021,10/14/2021,"Joseph A. Zadra, M.D.",Center for Drug Evaluation and Research | CDER,Clinical Investigator,,
10/22/2021,10/22/2021,Vapor Source Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/26/2021,10/19/2021,Vertigo Vapor Inc. d/b/a Baton Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/26/2021,10/15/2021,Flair Products LLC/Flair Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/26/2021,10/22/2021,"Juice Roll Upz, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/26/2021,10/14/2021,"New Green Nutrition, Inc.",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,
10/26/2021,10/18/2021,Za Imports Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/26/2021,09/03/2021,Databazaar.com,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,
10/26/2021,10/15/2021,Vapor Rage LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/26/2021,10/20/2021,Northland Vapor Company,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/21/2021,10/21/2021,"MJ Asset Holdings, LLC d/b/a Marco's Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/19/2021,10/19/2021,DENTON VAPE SHOPPE,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/11/2024
11/16/2021,11/10/2021,"Advanced Nutriceuticals, LLC dba The Guyer Institute of Molecular Medicine",Division of Pharmaceutical Quality Operations Division III,Compounding Pharmacy/Adulterated Drug Products,,
11/16/2021,11/08/2021,Global Sanitizers LLC,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,
11/17/2021,11/17/2021,Shop Vapes Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/16/2021,07/22/2021,Matthew 7:25 Inc dba Thrive Pharmacy,"Office of Pharmaceutical Quality Operations, Division II",Compounding Pharmacy/Adulterated Drug Products,,
11/16/2021,11/05/2021,Simply Vapour LLC dba Simply Vapour,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/17/2021,11/17/2021,"DFW Vapor Holdings Inc. d/b/a Vapor Lakes, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/16/2021,11/10/2021,Vape Hut Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/18/2021,11/18/2021,E-Cig Vape Lounge LLP,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/16/2021,10/15/2021,JD's Market Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
11/10/2021,11/10/2021,Wyoming Vapor Company,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/01/2020,08/26/2020,Alternative Pods,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/01/2020,08/14/2020,"Revival Products, Inc.",Office of Human and Animal Food Operations – East Division 3,CGMP/Dietary Supplement/Adulterated/Misbranded,,08/05/2024
09/01/2020,03/27/2020,"ECig Warehouse, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,07/02/2021
09/01/2020,08/14/2020,"Acella Pharmaceuticals, LLC","Office of Pharmaceutical Quality Operations, Division II",CGMP/Finished Pharmaceuticals/Adulterated,,
06/29/2020,06/26/2020,SuperHealthGuard and Loyal Great International Ltd.,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
09/01/2020,08/20/2020,Mylan Laboratories Limited – Unit 7,Office of Manufacturing Quality,CGMP/API/Adulterated,,02/22/2023
06/28/2022,06/22/2022,Industrias Cklass S. de R.L. de C.V.,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
06/28/2022,06/10/2022,"Monarch PCM, LLC","Office of Pharmaceutical Quality Operations, Division II",CGMP/Finished Pharmaceuticals/Adulterated,,
06/28/2022,06/22/2022,"Mirfeel Korea Co., Ltd.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,,
06/28/2022,06/17/2022,Conservas Ortiz S.A.,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
06/28/2022,06/10/2022,Cloudride Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/28/2022,04/28/2022,"DLG Naturals, Inc.",Office of Human and Animal Food Operations – West Division 1,Unapproved New Drugs/Misbranded,,07/21/2023
06/23/2022,06/23/2022,McCraney Enterprises Corporation d/b/a Vapors Heaven,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
03/17/2022,03/15/2022,"Iotech International, LLC",Center for Drug Evaluation and Research | CDER,Unapproved New Drug and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
03/22/2022,03/14/2022,Premier Trends LLC,Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,
03/22/2022,01/06/2022,"Unimicro Medical Systems-Shenzhen Co., Ltd.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,05/31/2023
03/22/2022,03/09/2022,GW FOOD USA Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
03/22/2022,03/18/2022,Marlin Steam Co,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
03/15/2022,03/15/2022,Yogi's Vape Hays,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
03/22/2022,03/08/2022,Apna Foods Imports Co.,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
04/12/2022,03/24/2022,"Northeast Seafood Products, Inc.",Office of Human and Animal Food Operations Division West 4,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
04/12/2022,03/01/2022,Generitech Corporation,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,
01/25/2022,01/06/2022,"Concord Farms, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
